Date, Inflation Rate (%), Annual Change 
1987-12-31,7.2338
1988-12-31,18.8118,11.58
1989-12-31,18.2456,-0.57
1990-12-31,3.0523,-15.19
1991-12-31,3.5567,0.5
1992-12-31,6.354,2.8
1993-12-31,14.6101,8.26
1994-12-31,24.257,9.65
1995-12-31,16.7912,-7.47
1996-12-31,8.3132,-8.48
1997-12-31,2.7865,-5.53
1998-12-31,-0.7732,-3.56
1999-12-31,-1.4015,-0.63
2000-12-31,0.3478,1.75
2001-12-31,0.7191,0.37
2002-12-31,-0.732,-1.45
2003-12-31,1.1276,1.86
2004-12-31,3.8246,2.7
2005-12-31,1.7764,-2.05
2006-12-31,1.6494,-0.13
2007-12-31,4.8168,3.17
2008-12-31,5.9253,1.11
2009-12-31,-0.7282,-6.65
2010-12-31,3.1753,3.9
2011-12-31,5.5539,2.38
2012-12-31,2.6195,-2.93
2013-12-31,2.621,0
2014-12-31,1.9216,-0.7
2015-12-31,1.437,-0.48
2016-12-31,2,0.56
2017-12-31,1.5931,-0.41
2018-12-31,2.0748,0.48
2019-12-31,2.8992,0.82

