YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,AVE
2000,-0.2,0.7,-0.2,-0.3,0.1,0.5,0.5,0.3,0,0,1.3,1.5,0.35
2001,1.2,0,0.8,1.6,1.7,1.4,1.5,1,-0.1,0.2,-0.3,-0.3,0.73
2002,-1.01,-0.02,-0.73,-1.22,-1.02,-0.72,-0.92,-0.72,-0.63,-0.73,-0.63,-0.43,-0.73
2003,0.37,0.17,0.88,0.98,0.57,0.27,0.47,0.87,1.07,1.78,2.9,3.21,1.13
2004,3.2,2.08,3.01,3.73,4.36,4.88,5.2,5.2,5.1,4.16,2.82,2.31,3.84
2005,1.8,3.84,2.6,1.78,1.68,1.58,1.78,1.28,0.87,1.28,1.28,1.58,1.78
2006,2.29,0.98,0.98,1.49,1.59,1.9,1.59,1.69,1.49,1.19,1.8,2.81,1.65
2007,2.2,2.71,3.33,3.02,3.44,4.37,5.63,6.58,6.36,6.58,7,6.58,4.82
2008,7.11,8.8,8.37,8.59,7.83,7.18,6.3,4.97,4.65,4.03,2.48,1.26,5.96
2009,0.96,-1.6,-1.2,-1.5,-1.4,-1.7,-1.79,-1.2,-0.81,-0.61,0.5,1.7,-0.72
2010,1.4,2.62,2.2,2.62,2.82,2.72,3.13,3.23,3.43,4.26,5.09,4.57,3.17
2011,5,5.07,5.6,5.5,5.7,6.67,6.71,6.37,6.24,5.6,4.25,4.03,5.56
2012,4.54,3.13,3.52,3.33,2.94,2.06,1.7,2.08,1.91,1.71,2.07,2.53,2.63
2013,2.02,3.24,2.12,2.42,2.09,2.66,2.67,2.52,3.02,3.23,2.95,2.51,2.62
2014,2.51,1.91,2.31,1.7,2.41,2.31,2.21,1.9,1.61,1.51,1.3,1.41,1.92
2015,0.71,1.41,1.32,1.53,1.22,1.32,1.73,2.03,1.62,1.21,1.52,1.62,1.44
2016,1.81,2.19,2.3,2.31,2.11,1.91,1.7,1.29,1.89,2.2,2.3,1.99,2
2017,2.57,0.78,0.98,1.18,1.67,1.68,1.38,1.77,1.66,1.86,1.76,1.85,1.6
2018,1.45,2.9,2.03,1.84,1.55,1.75,2.15,2.32,2.4,2.5,2.11,1.91,2.1
2019,1.71,1.5,2.28,2.57,2.76,2.67,2.76,2.83,3,3.75,4.51,4.41,2.9
2020,5.42,5.18,4.27,3.25,2.41,2.51,1.76,2.39,1.73,0.54,,,3.2
