Date,Corn_Price
2000-01-31,2.159875
2000-02-29,2.20535
2000-03-31,2.306847826086957
2000-04-30,2.283894736842105
2000-05-31,2.3951136363636363
2000-06-30,2.0869318181818186
2000-07-31,1.8467500000000001
2000-08-31,1.7937608695652174
2000-09-30,1.9294999999999998
2000-10-31,2.0417045454545453
2000-11-30,2.1182619047619045
2000-12-31,2.2230000000000003
2001-01-31,2.1898809523809524
2001-02-28,2.121368421052632
2001-03-31,2.142727272727273
2001-04-30,2.064175
2001-05-31,1.9943181818181814
2001-06-30,1.9349047619047621
2001-07-31,2.1554761904761905
2001-08-31,2.1812391304347827
2001-09-30,2.216944444444444
2001-10-31,2.084347826086956
2001-11-30,2.0604285714285715
2001-12-31,2.1525
2002-01-31,2.1002380952380952
2002-02-28,2.0532368421052625
2002-03-31,2.0682500000000004
2002-04-30,1.9941590909090905
2002-05-31,2.083068181818182
2002-06-30,2.1272499999999996
2002-07-31,2.3544318181818187
2002-08-31,2.6027045454545457
2002-09-30,2.721374999999999
2002-10-31,2.524239130434782
2002-11-30,2.4291999999999994
2002-12-31,2.39
2003-01-31,2.358214285714285
2003-02-28,2.3647631578947372
2003-03-31,2.3328571428571427
2003-04-30,2.384357142857143
2003-05-31,2.4480952380952385
2003-06-30,2.3901904761904764
2003-07-31,2.123636363636364
2003-08-31,2.2121904761904765
2003-09-30,2.3141666666666674
2003-10-31,2.25554347826087
2003-11-30,2.374894736842105
2003-12-31,2.477613636363636
2004-01-31,2.6672500000000006
2004-02-29,2.8365
2004-03-31,3.052717391304348
2004-04-30,3.1608809523809525
2004-05-31,3.021375
2004-06-30,2.866452380952381
2004-07-31,2.3740476190476194
2004-08-31,2.2569090909090908
2004-09-30,2.1801190476190477
2004-10-31,2.0497619047619047
2004-11-30,1.998863636363636
2004-12-31,2.051195652173913
2005-01-31,2.0012499999999998
2005-02-28,2.0125263157894735
2005-03-31,2.1731818181818183
2005-04-30,2.0870714285714285
2005-05-31,2.1196428571428565
2005-06-30,2.2272045454545455
2005-07-31,2.400875
2005-08-31,2.1645434782608692
2005-09-30,2.0988095238095235
2005-10-31,2.020595238095238
2005-11-30,1.943285714285714
2005-12-31,2.0829761904761903
2006-01-31,2.133875
2006-02-28,2.2412105263157893
2006-03-31,2.2788043478260867
2006-04-30,2.379973684210527
2006-05-31,2.4995454545454545
2006-06-30,2.391159090909091
2006-07-31,2.4853750000000003
2006-08-31,2.3118478260869564
2006-09-30,2.48525
2006-10-31,3.0326136363636365
2006-11-30,3.572166666666667
2006-12-31,3.763375
2007-01-31,3.9084523809523817
2007-02-28,4.124763157894737
2007-03-31,4.066363636363636
2007-04-30,3.6252999999999993
2007-05-31,3.743522727272728
2007-06-30,3.8196666666666665
2007-07-31,3.295595238095238
2007-08-31,3.323369565217391
2007-09-30,3.5861842105263166
2007-10-31,3.5785869565217387
2007-11-30,3.831809523809524
2007-12-31,4.324250000000001
2008-01-31,4.885714285714286
2008-02-29,5.1728000000000005
2008-03-31,5.531499999999999
2008-04-30,5.9452954545454535
2008-05-31,6.029999999999999
2008-06-30,7.001738095238094
2008-07-31,6.461931818181818
2008-08-31,5.50997619047619
2008-09-30,5.463095238095237
2008-10-31,4.126304347826087
2008-11-30,3.755684210526316
2008-12-31,3.6935227272727285
2009-01-31,3.9096249999999997
2009-02-28,3.627684210526315
2009-03-31,3.804772727272727
2009-04-30,3.8798095238095245
2009-05-31,4.2158750000000005
2009-06-30,4.13109090909091
2009-07-31,3.275227272727273
2009-08-31,3.276785714285715
2009-09-30,3.250714285714286
2009-10-31,3.720113636363635
2009-11-30,3.91495
2009-12-31,4.024659090909091
2010-01-31,3.8586842105263166
2010-02-28,3.6393421052631583
2010-03-31,3.681847826086956
2010-04-30,3.5480238095238095
2010-05-31,3.68175
2010-06-30,3.475545454545454
2010-07-31,3.783571428571428
2010-08-31,4.1
2010-09-30,4.891666666666667
2010-10-31,5.455476190476189
2010-11-30,5.536357142857144
2010-12-31,5.920113636363637
2011-01-31,6.352374999999999
2011-02-28,6.914605263157893
2011-03-31,6.863804347826087
2011-04-30,7.5359250000000015
2011-05-31,7.235000000000001
2011-06-30,7.204977272727273
2011-07-31,6.6816249999999995
2011-08-31,7.1442173913043465
2011-09-30,6.938690476190477
2011-10-31,6.321190476190476
2011-11-30,6.277071428571428
2011-12-31,6.059285714285713
2012-01-31,6.308624999999999
2012-02-29,6.406725
2012-03-31,6.475454545454545
2012-04-30,6.31655
2012-05-31,6.010227272727272
2012-06-30,6.001071428571429
2012-07-31,7.592738095238096
2012-08-31,8.034695652173914
2012-09-30,7.633947368421052
2012-10-31,7.501195652173912
2012-11-30,7.406047619047619
2012-12-31,7.207249999999999
2013-01-31,7.1465476190476185
2013-02-28,7.055894736842106
2013-03-31,7.15375
2013-04-30,6.46
2013-05-31,6.514772727272728
2013-06-30,6.5152
2013-07-31,5.279886363636362
2013-08-31,4.817181818181818
2013-09-30,4.59525
2013-10-31,4.391630434782609
2013-11-30,4.238375
2013-12-31,4.304642857142857
2014-01-31,4.272261904761906
2014-02-28,4.479210526315789
2014-03-31,4.854880952380952
2014-04-30,5.027261904761906
2014-05-31,4.901428571428572
2014-06-30,4.463142857142857
2014-07-31,3.7890909090909086
2014-08-31,3.600357142857143
2014-09-30,3.3880952380952376
2014-10-31,3.494130434782608
2014-11-30,3.7454473684210527
2014-12-31,4.014431818181818
2015-01-31,3.8810000000000002
2015-02-28,3.8457368421052642
2015-03-31,3.862045454545454
2015-04-30,3.743261904761905
2015-05-31,3.6099999999999994
2015-06-30,3.6512045454545454
2015-07-31,4.094318181818181
2015-08-31,3.6881190476190486
2015-09-30,3.7946428571428577
2015-10-31,3.8305681818181823
2015-11-30,3.6703
2015-12-31,3.709772727272728
2016-01-31,3.6184210526315788
2016-02-29,3.637125
2016-03-31,3.642954545454546
2016-04-30,3.7298095238095237
2016-05-31,3.9083333333333323
2016-06-30,4.1074318181818175
2016-07-31,3.4478750000000007
2016-08-31,3.240695652173913
2016-09-30,3.3375000000000004
2016-10-31,3.494880952380952
2016-11-30,3.460452380952381
2016-12-31,3.53595238095238
2017-01-31,3.618125
2017-02-28,3.6997368421052634
2017-03-31,3.656847826086956
2017-04-30,3.638342105263158
2017-05-31,3.705454545454546
2017-06-30,3.731818181818183
2017-07-31,3.8210000000000006
2017-08-31,3.5447173913043484
2017-09-30,3.5387499999999994
2017-10-31,3.493863636363636
2017-11-30,3.445071428571429
2017-12-31,3.5105000000000004
2018-01-31,3.5272619047619043
2018-02-28,3.6678421052631576
2018-03-31,3.8314285714285705
2018-04-30,3.863238095238095
2018-05-31,4.018068181818181
2018-06-30,3.6574523809523805
2018-07-31,3.5302380952380954
2018-08-31,3.596260869565218
2018-09-30,3.5844736842105256
2018-10-31,3.6815217391304342
2018-11-30,3.6695476190476186
2018-12-31,3.8116250000000003
2019-01-31,3.7869047619047613
2019-02-28,3.7477894736842106
2019-03-31,3.7110714285714272
2019-04-30,3.5861666666666667
2019-05-31,3.836704545454545
2019-06-30,4.357575000000001
2019-07-31,4.280113636363636
2019-08-31,3.772136363636364
2019-09-30,3.67825
2019-10-31,3.8977173913043486
2019-11-30,3.746575
2019-12-31,3.8323809523809524
2020-01-31,3.857380952380953
2020-02-29,3.777578947368421
2020-03-31,3.5886363636363625
2020-04-30,3.2176428571428577
2020-05-31,3.194125
2020-06-30,3.278613636363637
2020-07-31,3.3115909090909095
2020-08-31,3.2628809523809523
2020-09-30,3.662738095238095
2020-10-31,3.988977272727273
2020-11-30,4.163025
